SUBURB,MEDIAN HOUSE PRICE,GROWTH PERCENTAGE
,,(LAST 12 MONTHS)
Alexander Heights,"$490,000",8.90%
Alfred Cove,"$921,000",17.00%
Alkimos,"$452,500",10.40%
Anketell,$0,0.00%
Applecross,"$1,735,000",-0.60%
Ardross,"$1,165,000",15.90%
Armadale,"$290,000",11.50%
Ascot,"$891,000",11.40%
Ashby,"$505,000",4.10%
Ashfield,"$555,000",19.40%
Attadale,"$1,545,000",23.00%
Atwell,"$585,000",6.80%
Aubin Grove,"$560,000",-0.40%
Aveley,"$478,000",8.60%
Bailup,$0,0.00%
Balcatta,"$540,000",5.90%
Baldivis,"$446,000",7.50%
Balga,"$360,000",9.90%
Ballajura,"$475,000",9.20%
Banjup,$0,0.00%
Banksia Grove,"$440,000",7.60%
Baskerville,"$623,250",0.00%
Bassendean,"$590,000",7.50%
Bateman,"$876,000",7.50%
Bayswater,"$676,500",9.10%
Beaconsfield,"$872,500",12.10%
Beckenham,"$446,000",12.90%
Bedford,"$751,750",11.40%
Bedfordale,"$888,000",8.30%
Beechboro,"$427,500",11.00%
Beechina,$0,0.00%
Beeliar,"$582,500",11.00%
Beldon,"$560,000",12.00%
Belhus,$0,0.00%
Bellevue,"$376,000",13.90%
Belmont,"$511,000",5.70%
Bennett Springs,"$565,000",20.20%
Bentley,"$488,750",11.70%
Bertram,"$405,000",9.50%
Bibra Lake,"$605,250",9.10%
Bickley,"$788,500",18.90%
Bicton,"$1,300,000",13.00%
Booragoon,"$1,050,000",23.50%
Boya,"$650,000",-11.00%
Brabham,"$484,000",16.20%
Brentwood,"$805,000",22.90%
Brigadoon,$0,0.00%
Brookdale,"$319,250",4.70%
Bull Creek,"$850,000",8.70%
Bullsbrook,"$385,000",5.50%
Burns Beach,"$1,000,000",13.60%
Burswood,"$1,022,000",21.80%
Bushmead,"$685,000",3.00%
Butler,"$410,000",5.10%
Byford,"$445,000",8.50%
Calista,"$328,000",19.30%
Camillo,"$302,500",10.00%
Canning Mills,$0,0.00%
Canning Vale,"$640,000",9.40%
Cannington,"$440,000",14.30%
Carabooda,$0,0.00%
Cardup,"$682,500",17.90%
Carine,"$1,017,500",20.40%
Carlisle,"$587,500",12.70%
Carmel,"$555,000",-14.60%
Carramar,"$581,000",9.60%
Casuarina,"$900,000",17.60%
Caversham,"$520,000",8.30%
Challenger,$0,0.00%
Champion Lakes,"$444,000",-0.20%
Chidlow,"$515,000",18.40%
Churchlands,"$1,595,000",8.50%
City Beach,"$2,400,000",14.30%
Claremont,"$1,800,000",5.90%
Clarence,$0,0.00%
Clarkson,"$432,000",9.50%
Cloverdale,"$485,000",10.20%
Cockburn Central,"$547,500",12.90%
Como,"$1,025,000",6.80%
Connolly,"$822,500",10.60%
Coogee,"$890,000",8.50%
Coolbellup,"$550,000",17.60%
Coolbinia,"$1,460,000",15.00%
Cooloongup,"$361,000",18.40%
Cottesloe,"$2,850,000",16.30%
Craigie,"$548,750",15.50%
Crawley,"$1,250,000",-2.00%
Currambine,"$648,000",7.10%
Daglish,"$1,565,000",14.70%
Dalkeith,"$3,240,000",13.70%
Darch,"$660,000",17.90%
Darling Downs,"$530,000",-13.30%
Darlington,"$785,000",13.80%
Dayton,"$453,000",4.10%
Dianella,"$700,000",12.00%
Doubleview,"$855,000",12.90%
Duncraig,"$850,000",12.60%
East Cannington,"$460,000",2.20%
East Fremantle,"$1,475,000",18.00%
East Perth,"$1,950,000",77.30%
East Rockingham,$0,0.00%
East Victoria Park,"$694,750",5.30%
Eden Hill,"$465,000",8.10%
Edgewater,"$653,000",18.50%
Eglinton,"$440,000",3.50%
Ellenbrook,"$439,500",8.50%
Embleton,"$560,000",4.70%
Ferndale,"$489,000",14.00%
Floreat,"$1,775,000",11.60%
Forrestdale,"$630,000",38.80%
Forrestfield,"$480,000",13.10%
Fremantle,"$1,075,000",25.70%
Gidgegannup,"$465,000",0.00%
Girrawheen,"$387,550",14.00%
Glen Forrest,"$660,000",7.30%
Glendalough,"$546,250",-14.10%
Gnangara,"$770,000",94.60%
Golden Bay,"$424,500",17.40%
Gooseberry Hill,"$840,000",9.10%
Gosnells,"$350,000",12.50%
Greenmount,"$490,000",2.30%
Greenwood,"$617,000",14.30%
Guildford,"$810,000",5.90%
Gwelup,"$1,092,500",32.80%
Hacketts Gully,$0,0.00%
Hamersley,"$625,000",16.80%
Hamilton Hill,"$575,000",11.70%
Hammond Park,"$560,000",12.60%
Harrisdale,"$551,000",5.00%
Haynes,"$421,000",9.40%
Hazelmere,"$618,500",12.50%
Heathridge,"$535,000",9.20%
Helena Valley,"$640,000",13.00%
Henderson,$0,0.00%
Henley Brook,"$550,000",-4.30%
Herdsman,$0,0.00%
Herne Hill,"$370,000",-11.90%
High Wycombe,"$483,650",9.30%
Highgate,"$994,000",10.50%
Hilbert,"$425,500",12.00%
Hillarys,"$1,002,500",11.60%
Hillman,"$335,000",26.40%
Hilton,"$680,000",15.30%
Hocking,"$550,175",8.90%
Hollywood,$0,0.00%
Hope Valley,$0,0.00%
Hopeland,$0,0.00%
Hovea,"$940,000",82.50%
Huntingdale,"$442,000",11.90%
Iluka,"$1,005,000",18.20%
Inglewood,"$944,000",11.10%
Innaloo,"$642,500",11.70%
Jandabup,$0,0.00%
Jandakot,"$737,500",11.70%
Jane Brook,"$575,000",10.60%
Jarrahdale,"$516,375",29.10%
Jindalee,"$660,000",13.80%
Jolimont,"$1,475,000",15.20%
Joondalup,"$590,000",11.80%
Joondanna,"$792,000",9.60%
Kalamunda,"$715,000",18.20%
Kallaroo,"$797,000",11.30%
Karawara,"$830,000",25.30%
Kardinya,"$725,000",5.10%
Karnup,"$425,000",11.80%
Karragullen,$0,0.00%
Karrakup,$0,0.00%
Karrinyup,"$1,070,000",20.90%
Kelmscott,"$370,000",8.50%
Kensington,"$1,022,500",9.10%
Kenwick,"$380,000",13.40%
Kewdale,"$502,500",11.70%
Keysbrook,$0,0.00%
Kiara,"$492,500",14.50%
Kingsley,"$711,500",18.00%
Kinross,"$589,000",13.30%
Koondoola,"$375,000",9.50%
Koongamia,"$375,000",31.60%
Kwinana,$0,0.00%
Kwinana Beach,$0,0.00%
Kwinana Town Centre,"$331,000",10.70%
Lake Coogee,"$652,500",16.50%
Landsdale,"$645,000",13.20%
Langford,"$388,888",15.20%
Lathlain,"$787,500",7.10%
Leda,"$355,000",18.30%
Leederville,"$1,060,000",20.50%
Leeming,"$815,000",11.60%
Lesmurdie,"$700,000",12.70%
Lexia,$0,0.00%
Lockridge,"$351,250",19.90%
Lynwood,"$439,500",2.80%
Maddington,"$360,000",9.10%
Madeley,"$648,000",10.80%
Mahogany Creek,"$654,500",11.30%
Maida Vale,"$593,750",14.70%
Malaga,$0,0.00%
Mandogalup,"$645,000",6.60%
Manning,"$870,000",17.60%
Marangaroo,"$480,000",9.10%
Mardella,"$822,500",24.60%
Mariginiup,"$930,000",25.30%
Marmion,"$1,375,000",42.30%
Martin,"$510,000",10.90%
Maylands,"$655,000",-5.10%
Medina,"$290,000",10.80%
Melville,"$895,000",2.90%
Menora,"$1,300,000",12.10%
Merriwa,"$386,388",12.00%
Middle Swan,"$340,000",4.60%
Midland,"$358,500",17.50%
Midvale,"$375,000",14.70%
Millendon,$0,0.00%
Mindarie,"$835,000",11.70%
Mirrabooka,"$410,000",9.30%
Morley,"$540,000",11.30%
Mosman Park,"$1,780,000",11.90%
Mount Claremont,"$1,740,000",24.30%
Mount Hawthorn,"$1,250,000",31.20%
Mount Helena,"$595,000",9.70%
Mount Lawley,"$1,200,000",11.60%
Mount Nasura,"$490,000",7.70%
Mount Pleasant,"$1,400,000",12.00%
Mount Richon,"$485,000",0.00%
Mullaloo,"$940,000",17.50%
Mundaring,"$649,000",6.40%
Mundijong,"$480,000",14.30%
Munster,$0,0.00%
Murdoch,"$761,000",8.70%
Myaree,"$825,500",16.70%
Naval Base,$0,0.00%
Nedlands,"$2,115,000",13.40%
Neerabup,$0,0.00%
Nollamara,"$420,000",9.10%
Noranda,"$650,000",8.30%
North Beach,"$1,452,500",41.00%
North Coogee,"$1,280,000",7.60%
North Fremantle,"$1,271,000",3.70%
North Lake,"$687,500",3.00%
North Perth,"$1,152,500",28.10%
Northbridge,"$1,390,000",26.40%
Nowergup,$0,0.00%
O'Connor,"$553,000",-4.20%
Oakford,"$827,500",-3.80%
Ocean Reef,"$885,000",13.70%
Oldbury,$0,0.00%
Orange Grove,"$670,000",0.00%
Orelia,"$325,000",12.50%
Osborne Park,"$558,500",10.40%
Padbury,"$671,000",19.80%
Palmyra,"$772,500",8.00%
Parkerville,"$650,000",25.00%
Parkwood,"$525,000",16.20%
Parmelia,"$315,000",12.50%
Paulls Valley,$0,0.00%
Pearsall,"$475,000",5.60%
Peel Estate,$0,0.00%
Peppermint Grove,"$3,700,000",23.40%
Perth,"$917,500",8.60%
Perth Airport,$0,0.00%
Piara Waters,"$600,000",13.20%
Pickering Brook,"$665,500",33.10%
Piesse Brook,$0,0.00%
Pinjar,$0,0.00%
Port Kennedy,"$430,000",14.70%
Postans,$0,0.00%
Queens Park,"$450,000",6.50%
Quinns Rocks,"$550,000",3.50%
Red Hill,$0,0.00%
Redcliffe,"$485,000",7.80%
Ridgewood,"$414,000",2.90%
Riverton,"$740,000",15.20%
Rivervale,"$617,500",12.30%
Rockingham,"$440,000",4.10%
Roleystone,"$656,000",11.00%
Rossmoyne,"$1,375,000",10.40%
Safety Bay,"$460,000",15.00%
Salter Point,"$1,630,000",21.20%
Samson,"$715,000",24.10%
Sawyers Valley,"$565,000",-5.80%
Scarborough,"$908,000",17.90%
Secret Harbour,"$490,000",4.30%
Serpentine,"$780,000",21.40%
Seville Grove,"$370,500",7.40%
Shelley,"$975,000",20.40%
Shenton Park,"$1,711,500",17.20%
Shoalwater,"$530,000",13.20%
Sinagra,"$525,000",14.10%
Singleton,"$520,000",10.90%
Sorrento,"$1,300,000",18.10%
South Fremantle,"$1,310,000",17.00%
South Guildford,"$616,000",10.00%
South Lake,"$480,000",13.60%
South Perth,"$1,525,000",5.40%
Southern River,"$610,000",6.10%
Spearwood,"$567,000",20.90%
St James,"$558,000",5.30%
Stirling,"$960,000",20.00%
Stoneville,"$600,000",22.40%
Stratton,"$352,500",10.20%
Subiaco,"$1,627,500",20.60%
Success,"$572,500",10.90%
Swan View,"$415,000",5.10%
Swanbourne,"$2,000,000",18.30%
Tamala Park,$0,0.00%
Tapping,"$575,000",9.50%
The Lakes,$0,0.00%
The Spectacles,$0,0.00%
The Vines,"$765,000",7.10%
Thornlie,"$451,000",15.30%
Treeby,"$602,500",17.70%
Trigg,"$1,500,000",3.40%
Tuart Hill,"$632,500",15.00%
Two Rocks,"$447,000",11.70%
Upper Swan,"$790,000",61.20%
Victoria Park,"$730,000",6.60%
Viveash,"$415,000",-2.40%
Waikiki,"$423,000",20.90%
Walliston,"$541,000",6.10%
Wandi,"$511,000",3.20%
Wangara,$0,0.00%
Wanneroo,"$460,000",8.60%
Warnbro,"$395,000",15.80%
Warwick,"$680,000",22.70%
Waterford,"$1,155,000",3.10%
Watermans Bay,"$1,670,000",51.80%
Wattle Grove,"$568,500",4.30%
Wattleup,$0,0.00%
Wellard,"$425,000",1.80%
Welshpool,$0,0.00%
Wembley,"$1,420,000",19.30%
Wembley Downs,"$1,355,000",18.30%
West Leederville,"$1,419,000",26.10%
West Perth,"$835,000",5.70%
West Swan,"$870,000",8.70%
Westminster,"$399,000",10.80%
Whitby,"$422,500",15.80%
White Gum Valley,"$881,620",12.30%
Whiteman,$0,0.00%
Wilbinga,$0,0.00%
Willagee,"$657,500",17.90%
Willetton,"$875,000",18.30%
Wilson,"$591,000",6.50%
Winthrop,"$997,500",10.80%
Woodbridge,"$630,000",11.70%
Woodlands,"$1,250,000",23.80%
Woodvale,"$760,000",15.20%
Wooroloo,"$392,000",17.00%
Wungong,$0,0.00%
Yanchep,"$465,000",8.80%
Yangebup,"$523,500",12.60%
Yokine,"$690,000",3.00%
