SUBURB,MEDIAN HOUSE PRICE,GROWTH PERCENTAGE
Alexander Heights,490000,0.09
Alfred Cove,921000,0.17
Alkimos,452500,0.10
Anketell,0,0.00
Applecross,1735000,-0.01
Ardross,1165000,0.16
Armadale,290000,0.12
Ascot,891000,0.11
Ashby,505000,0.04
Ashfield,555000,0.19
Attadale,1545000,0.23
Atwell,585000,0.07
Aubin Grove,560000,0.00
Aveley,478000,0.09
Bailup,0,0.00
Balcatta,540000,0.06
Baldivis,446000,0.08
Balga,360000,0.10
Ballajura,475000,0.09
Banjup,0,0.00
Banksia Grove,440000,0.08
Baskerville,623250,0.00
Bassendean,590000,0.08
Bateman,876000,0.08
Bayswater,676500,0.09
Beaconsfield,872500,0.12
Beckenham,446000,0.13
Bedford,751750,0.11
Bedfordale,888000,0.08
Beechboro,427500,0.11
Beechina,0,0.00
Beeliar,582500,0.11
Beldon,560000,0.12
Belhus,0,0.00
Bellevue,376000,0.14
Belmont,511000,0.06
Bennett Springs,565000,0.20
Bentley,488750,0.12
Bertram,405000,0.10
Bibra Lake,605250,0.09
Bickley,788500,0.19
Bicton,1300000,0.13
Booragoon,1050000,0.24
Boya,650000,-0.11
Brabham,484000,0.16
Brentwood,805000,0.23
Brigadoon,0,0.00
Brookdale,319250,0.05
Bull Creek,850000,0.09
Bullsbrook,385000,0.06
Burns Beach,1000000,0.14
Burswood,1022000,0.22
Bushmead,685000,0.03
Butler,410000,0.05
Byford,445000,0.09
Calista,328000,0.19
Camillo,302500,0.10
Canning Mills,0,0.00
Canning Vale,640000,0.09
Cannington,440000,0.14
Carabooda,0,0.00
Cardup,682500,0.18
Carine,1017500,0.20
Carlisle,587500,0.13
Carmel,555000,-0.15
Carramar,581000,0.10
Casuarina,900000,0.18
Caversham,520000,0.08
Challenger,0,0.00
Champion Lakes,444000,0.00
Chidlow,515000,0.18
Churchlands,1595000,0.09
City Beach,2400000,0.14
Claremont,1800000,0.06
Clarence,0,0.00
Clarkson,432000,0.10
Cloverdale,485000,0.10
Cockburn Central,547500,0.13
Como,1025000,0.07
Connolly,822500,0.11
Coogee,890000,0.09
Coolbellup,550000,0.18
Coolbinia,1460000,0.15
Cooloongup,361000,0.18
Cottesloe,2850000,0.16
Craigie,548750,0.16
Crawley,1250000,-0.02
Currambine,648000,0.07
Daglish,1565000,0.15
Dalkeith,3240000,0.14
Darch,660000,0.18
Darling Downs,530000,-0.13
Darlington,785000,0.14
Dayton,453000,0.04
Dianella,700000,0.12
Doubleview,855000,0.13
Duncraig,850000,0.13
East Cannington,460000,0.02
East Fremantle,1475000,0.18
East Perth,1950000,0.77
East Rockingham,0,0.00
East Victoria Park,694750,0.05
Eden Hill,465000,0.08
Edgewater,653000,0.19
Eglinton,440000,0.04
Ellenbrook,439500,0.09
Embleton,560000,0.05
Ferndale,489000,0.14
Floreat,1775000,0.12
Forrestdale,630000,0.39
Forrestfield,480000,0.13
Fremantle,1075000,0.26
Gidgegannup,465000,0.00
Girrawheen,387550,0.14
Glen Forrest,660000,0.07
Glendalough,546250,-0.14
Gnangara,770000,0.95
Golden Bay,424500,0.17
Gooseberry Hill,840000,0.09
Gosnells,350000,0.13
Greenmount,490000,0.02
Greenwood,617000,0.14
Guildford,810000,0.06
Gwelup,1092500,0.33
Hacketts Gully,0,0.00
Hamersley,625000,0.17
Hamilton Hill,575000,0.12
Hammond Park,560000,0.13
Harrisdale,551000,0.05
Haynes,421000,0.09
Hazelmere,618500,0.13
Heathridge,535000,0.09
Helena Valley,640000,0.13
Henderson,0,0.00
Henley Brook,550000,-0.04
Herdsman,0,0.00
Herne Hill,370000,-0.12
High Wycombe,483650,0.09
Highgate,994000,0.11
Hilbert,425500,0.12
Hillarys,1002500,0.12
Hillman,335000,0.26
Hilton,680000,0.15
Hocking,550175,0.09
Hollywood,0,0.00
Hope Valley,0,0.00
Hopeland,0,0.00
Hovea,940000,0.83
Huntingdale,442000,0.12
Iluka,1005000,0.18
Inglewood,944000,0.11
Innaloo,642500,0.12
Jandabup,0,0.00
Jandakot,737500,0.12
Jane Brook,575000,0.11
Jarrahdale,516375,0.29
Jindalee,660000,0.14
Jolimont,1475000,0.15
